word,count
0,91367
50k,48842
united,43832
states,43832
white,41762
married,39161
private,33906
male,32650
40,23990
spouse,23044
civ,22379
husband,19716
not,16445
female,16192
never,16127
9,15811
hs,15784
grad,15784
in,12583
family,12583
10,11303
some,10878
college,10878
13,8053
bachelors,8025
own,7581
child,7581
prof,7006
other,6835
divorced,6633
gov,6549
specialty,6172
repair,6112
craft,6112
managerial,6086
exec,6086
adm,5611
clerical,5611
self,5557
emp,5557
inc,5557
sales,5504
unmarried,5125
50,5112
service,4923
black,4685
45,3813
assoc,3662
35,3274
local,3136
op,3022
machine,3022
inspct,3022
30,2978
20,2975
14,2712
masters,2657
60,2626
transport,2355
moving,2355
wife,2331
25,2153
11,2081
handlers,2072
cleaners,2072
voc,2061
state,1981
38,1978
7,1857
12,1848
11th,1812
36,1684
32,1676
55,1672
48,1615
acdm,1601
24,1560
separated,1530
37,1522
pac,1519
asian,1519
islander,1519
widowed,1518
relative,1506
42,1503
farming,1490
fishing,1490
6,1481
15,1457
support,1446
tech,1446
federal,1432
28,1420
33,1396
10th,1389
44,1377
23,1369
34,1351
31,1337
43,1331
41,1294
27,1275
39,1269
22,1240
29,1238
46,1226
serv,1225
26,1193
47,1163
21,1142
19,1072
4,1039
18,991
protective,983
8th,955
7th,955
mexico,951
52,943
51,897
16,897
49,886
8,875
5,851
school,834
9th,756
53,750
56,705
54,675
12th,657
65,639
17,637
absent,628
doctorate,594
58,593
70,570
57,570
3,568
59,530
15024,513
6th,509
5th,509
amer,470
eskimo,470
indian,470
61,454
62,417
7688,410
7298,364
64,362
63,350
1902,304
2,300
philippines,295
66,260
1977,253
80,248
1st,247
4th,247
67,244
99999,244
priv,242
house,242
1887,233
72,227
germany,206
68,194
puerto,184
rico,184
canada,182
75,177
el,155
salvador,155
3103,152
india,151
69,150
5178,146
cuba,138
99,137
england,127
china,122
71,118
5013,117
south,115
73,112
1,110
4386,108
jamaica,106
italy,105
republic,103
dominican,103
90,97
japan,92
guatemala,88
poland,87
vietnam,86
columbia,85
84,85
2174,84
preschool,83
8614,82
3325,81
74,80
1848,76
haiti,75
76,73
2415,72
1485,71
portugal,67
taiwan,65
10520,64
4650,63
77,63
1602,62
1590,62
iran,59
1876,59
1740,58
27828,58
4064,54
594,52
3137,51
1672,50
greece,49
nicaragua,49
20051,49
14084,49
78,47
peru,46
ecuador,45
1741,44
1564,43
2829,42
13550,42
6849,42
3908,42
81,40
2258,39
france,38
1719,38
af,37
ireland,37
1055,37
1980,36
1669,35
1408,35
4787,35
2001,35
14344,34
3411,34
2002,33
3464,33
2597,31
2176,31
79,31
9386,31
thailand,30
1579,30
hong,30
2885,30
2051,29
4101,29
1721,28
1974,28
2202,28
cambodia,28
2339,27
tobago,27
trinadad,27
1504,26
2407,25
2377,25
4865,25
4416,24
1506,24
1628,24
us,23
outlying,23
guam,23
usvi,23
yugoslavia,23
4508,23
etc,23
laos,23
85,22
3674,22
2354,21
without,21
203488,21
scotland,21
pay,21
2580,20
2444,20
2179,20
1762,20
honduras,20
2205,19
10605,19
190290,19
hungary,19
120277,19
126569,18
5455,18
125892,18
3942,18
2907,18
625,17
113364,17
126675,17
99185,17
2559,17
3781,16
111567,16
6418,16
82,16
186934,16
2057,16
127651,15
6497,15
2463,15
117963,15
2105,15
7430,15
armed,15
120131,15
forces,15
123011,15
2964,14
108140,14
136986,14
123983,14
121124,14
98,14
164190,14
193882,14
111483,14
2635,14
2824,14
132879,14
25236,14
188246,14
194630,14
148995,14
112115,13
177675,13
216129,13
104196,13
174789,13
144949,13
117789,13
97723,13
125461,13
144778,13
96062,13
241998,13
155489,13
214542,13
1151,13
156464,13
150057,12
123429,12
167482,12
99146,12
176185,12
125933,12
112497,12
102308,12
1573,12
2042,12
218490,12
155659,12
173858,11
2392,11
188069,11
213140,11
145441,11
106900,11
1651,11
118551,11
246891,11
2977,11
1340,11
212894,11
198841,11
116358,11
79586,11
129573,11
1092,11
140001,11
181091,11
221172,11
3818,11
3471,11
1617,11
119793,11
2653,11
109133,11
116632,11
150533,11
107302,11
161141,11
162312,11
154374,11
114691,11
107231,11
143062,11
175958,11
206609,11
145964,11
83,11
108435,11
82393,11
72887,11
worked,10
210945,10
101345,10
4934,10
168071,10
104501,10
48520,10
22245,10
174533,10
15020,10
202872,10
169104,10
117381,10
6514,10
139268,10
61885,10
111128,10
110622,10
163870,10
112847,10
124963,10
160120,10
320451,10
194901,10
172538,10
2290,10
914,10
103323,10
131230,10
226443,10
200471,10
145409,10
143582,10
117310,10
207685,10
163665,10
205100,10
88,10
199058,10
72338,10
175262,10
211968,10
329980,10
154410,10
193026,10
1797,10
113838,10
175232,10
135339,10
126613,10
149102,10
160261,10
2414,10
340917,10
1380,10
1409,10
210736,10
341672,9
172571,9
189759,9
40666,9
165815,9
103925,9
186824,9
207668,9
33975,9
152307,9
142712,9
123681,9
183523,9
96,9
149337,9
226296,9
182117,9
176683,9
134890,9
117210,9
101593,9
133963,9
230684,9
238917,9
1668,9
113324,9
102359,9
107882,9
237943,9
140854,9
108293,9
1831,9
117849,9
172232,9
184655,9
70240,9
185041,9
1471,9
102476,9
115932,9
117767,9
202027,9
208946,9
1594,9
191342,9
132601,9
111499,9
130620,9
56651,9
154641,9
1726,9
190027,9
227065,9
160369,9
173938,9
154950,9
132686,9
138852,9
193720,9
122493,9
32732,9
134737,9
179481,9
54260,8
78529,8
185057,8
159187,8
98776,8
188798,8
174201,8
189203,8
120238,8
174102,8
61343,8
202560,8
128378,8
37778,8
217460,8
185407,8
118941,8
154210,8
134768,8
194636,8
224566,8
109015,8
117606,8
96483,8
153132,8
223212,8
98361,8
151089,8
102771,8
140644,8
152810,8
154120,8
124692,8
100345,8
153078,8
190525,8
194096,8
176711,8
124111,8
100734,8
157332,8
201127,8
162572,8
114158,8
164488,8
163003,8
149347,8
185385,8
334291,8
149640,8
119156,8
94235,8
175856,8
53956,8
247328,8
2246,8
29702,8
104509,8
117779,8
2346,8
206951,8
200153,8
3887,8
147206,8
32950,8
86143,8
25124,8
114,8
198660,8
168262,8
174714,8
99199,8
277488,8
101709,8
143046,8
210781,8
216414,8
204235,8
15831,8
222450,8
144064,8
159755,8
147258,8
130126,8
257250,8
151584,8
135056,8
197286,8
167159,8
207301,8
1086,8
10566,8
219155,8
143604,8
3418,8
119411,8
34378,8
170174,8
138768,8
236391,8
255004,8
103277,8
174575,8
208358,8
157747,8
236861,8
93225,7
235646,7
2129,7
139012,7
239539,7
196385,7
234108,7
124971,7
200316,7
35633,7
168539,7
170230,7
188436,7
105936,7
136331,7
2329,7
139391,7
72896,7
161092,7
168906,7
287988,7
38948,7
64292,7
171924,7
193047,7
197886,7
2231,7
139364,7
198452,7
5721,7
32528,7
170800,7
175942,7
38455,7
174395,7
190228,7
80680,7
119422,7
107801,7
180052,7
201495,7
154571,7
2603,7
98350,7
101562,7
73514,7
179579,7
126754,7
137421,7
301614,7
260782,7
187046,7
160786,7
193494,7
68898,7
159442,7
203761,7
216867,7
162282,7
168191,7
216116,7
445382,7
112763,7
125010,7
190759,7
43712,7
105803,7
181705,7
155818,7
114758,7
184659,7
147653,7
3273,7
236543,7
132053,7
175339,7
125000,7
112137,7
191389,7
184105,7
229148,7
239755,7
167350,7
170070,7
152109,7
174215,7
155781,7
33117,7
203776,7
349148,7
259323,7
184378,7
246439,7
178983,7
77146,7
347491,7
121012,7
214242,7
139770,7
187847,7
182714,7
128016,7
202450,7
7443,7
226902,7
96480,7
177287,7
252752,7
195124,7
145574,7
148549,7
193285,7
100135,7
109912,7
41356,7
204226,7
196707,7
210474,7
37932,7
168232,7
91189,7
53833,7
146659,7
134367,7
193815,7
57233,7
127610,7
214635,7
134886,7
181820,7
172962,7
124137,7
381153,7
34572,7
147989,7
174461,7
190916,7
233511,7
191277,7
243190,7
155106,7
117674,7
153486,7
248990,7
186256,7
187560,7
160594,7
96219,7
176178,7
198316,7
141584,7
155664,7
83411,7
121718,7
175935,6
245090,6
106014,6
253814,6
186035,6
195891,6
197189,6
215419,6
191196,6
190333,6
192251,6
177905,6
120781,6
142719,6
106347,6
102729,6
251854,6
103064,6
361888,6
278391,6
149943,6
228649,6
198813,6
115677,6
991,6
187802,6
152652,6
54611,6
880,6
116608,6
103948,6
50178,6
236696,6
80058,6
227890,6
193130,6
152951,6
182342,6
168981,6
241895,6
82622,6
265097,6
122353,6
214858,6
190650,6
143266,6
180599,6
151580,6
165695,6
199915,6
85995,6
130856,6
234663,6
34218,6
55395,6
159589,6
187830,6
281030,6
174308,6
185556,6
207578,6
124483,6
213722,6
33331,6
150025,6
177937,6
348960,6
69333,6
154227,6
133937,6
236804,6
193524,6
279129,6
81534,6
59469,6
241306,6
2206,6
5556,6
200089,6
344624,6
192939,6
127772,6
165001,6
361497,6
112271,6
244172,6
179423,6
126701,6
124827,6
235271,6
169324,6
225456,6
171615,6
110457,6
195488,6
356934,6
349910,6
156926,6
189123,6
182771,6
272944,6
136077,6
87205,6
190895,6
48087,6
164526,6
139703,6
144351,6
347166,6
166549,6
179488,6
227594,6
192779,6
145290,6
24008,6
278736,6
221955,6
143766,6
232475,6
347653,6
108574,6
31740,6
132222,6
99131,6
353824,6
209955,6
65624,6
205152,6
316820,6
69251,6
34095,6
189346,6
162187,6
195897,6
263561,6
97176,6
260560,6
126060,6
138441,6
176839,6
152328,6
52262,6
103435,6
143822,6
143123,6
245317,6
3456,6
187581,6
89041,6
156877,6
147638,6
103651,6
278322,6
107682,6
162442,6
241885,6
78374,6
287681,6
160731,6
150309,6
255252,6
248094,6
176756,6
189382,6
60668,6
80933,6
109001,6
33126,6
149218,6
123075,6
183765,6
214781,6
29810,6
365739,6
100669,6
233130,6
410034,6
151835,6
173730,6
180060,6
410351,6
102058,6
110171,6
184456,6
48343,6
222011,6
198613,6
182211,6
328216,6
60726,6
84119,6
234901,6
110998,6
202683,6
197583,6
86551,6
231826,6
122272,6
278130,6
115023,6
83141,6
124242,6
133969,6
183279,6
243631,6
146325,6
187167,6
159732,6
201699,6
77884,6
137815,6
236769,6
213226,6
160724,6
172822,6
197387,6
189680,6
122206,6
223881,6
150324,6
182177,6
198183,6
177907,6
40955,6
176716,6
153976,6
211032,6
187203,6
34616,6
192835,6
195994,6
213307,6
194995,6
157473,6
167725,6
154785,6
73199,6
81145,6
272950,6
161708,6
225193,6
187702,6
206051,6
169583,6
181372,6
1258,6
190350,6
312667,6
223019,6
175943,6
229732,6
33487,6
37869,6
305597,6
143385,6
190968,6
188386,6
76860,6
175925,6
269323,6
233571,6
394927,6
187322,6
180339,6
105582,6
160035,6
169182,6
195532,6
191814,6
89508,6
194740,6
28572,6
298871,6
133373,6
176992,6
86643,6
186191,6
19302,6
160647,6
230329,6
235124,6
60331,6
180985,6
137367,6
6767,6
409189,6
152744,6
245372,6
222596,6
250038,6
182926,6
97883,6
162551,6
27408,6
182460,6
218215,6
141807,6
355856,6
39581,5
297449,5
24504,5
167336,5
208881,5
186172,5
40024,5
72257,5
231043,5
111363,5
196373,5
178615,5
29887,5
34446,5
169699,5
114580,5
182062,5
98360,5
199067,5
198282,5
268022,5
375313,5
22494,5
123727,5
30840,5
174995,5
46401,5
198096,5
126822,5
197332,5
49115,5
209900,5
323,5
168211,5
64520,5
206889,5
265266,5
34037,5
40915,5
138342,5
238384,5
101320,5
49020,5
2149,5
227615,5
107584,5
218542,5
117618,5
159908,5
156266,5
103642,5
221532,5
185177,5
183096,5
38819,5
175070,5
203182,5
95680,5
39986,5
39477,5
167737,5
34180,5
158688,5
409230,5
96844,5
170108,5
42900,5
114967,5
162945,5
145714,5
196344,5
45796,5
137192,5
150999,5
32627,5
218184,5
338320,5
55465,5
223515,5
130057,5
195835,5
131310,5
115066,5
193895,5
206600,5
83444,5
151322,5
202729,5
187563,5
176101,5
269733,5
341204,5
135162,5
209547,5
24763,5
240504,5
114357,5
116666,5
173495,5
122048,5
105252,5
370119,5
130760,5
194360,5
421837,5
197997,5
328466,5
179668,5
228873,5
185647,5
200967,5
2036,5
268234,5
201723,5
155343,5
2547,5
122749,5
102828,5
183800,5
167990,5
174242,5
115880,5
147099,5
20308,5
203482,5
33001,5
223267,5
164898,5
182074,5
191385,5
189265,5
481987,5
131568,5
329144,5
104996,5
356689,5
162302,5
255454,5
149210,5
227332,5
176321,5
401,5
185325,5
194259,5
184682,5
192894,5
33016,5
109282,5
372525,5
219546,5
76487,5
200318,5
205940,5
368561,5
399088,5
108945,5
32616,5
207568,5
271933,5
247025,5
113129,5
423222,5
146908,5
341762,5
175674,5
70282,5
115439,5
157131,5
161478,5
189462,5
29261,5
212120,5
88564,5
188950,5
177487,5
203828,5
180477,5
115438,5
249043,5
228320,5
49325,5
223811,5
191137,5
295127,5
133515,5
215395,5
9562,5
128354,5
184018,5
192323,5
38876,5
123291,5
311376,5
202950,5
204447,5
224640,5
82488,5
204052,5
73928,5
312055,5
219835,5
37933,5
220115,5
186272,5
200734,5
227943,5
115562,5
209768,5
217961,5
169180,5
180096,5
185846,5
226696,5
2538,5
89,5
188274,5
35723,5
188694,5
216999,5
189843,5
162688,5
241431,5
133861,5
248476,5
224541,5
253190,5
194141,5
59380,5
193459,5
208277,5
339482,5
31267,5
216473,5
137363,5
189565,5
114937,5
151382,5
177727,5
251905,5
81132,5
193586,5
170721,5
203070,5
189933,5
181659,5
287658,5
20795,5
55360,5
199018,5
1825,5
112264,5
101299,5
137658,5
173987,5
189762,5
109952,5
321865,5
250630,5
143774,5
99357,5
125796,5
160192,5
354351,5
42706,5
236396,5
167476,5
284317,5
192337,5
96245,5
176814,5
209538,5
94809,5
55377,5
66473,5
197613,5
170214,5
199763,5
229636,5
171968,5
200450,5
157778,5
47902,5
176486,5
148254,5
122066,5
189922,5
291979,5
43535,5
177858,5
174426,5
47541,5
175029,5
199590,5
193260,5
137876,5
120461,5
374116,5
53481,5
147098,5
204629,5
3004,5
120268,5
188615,5
68729,5
86150,5
241350,5
116391,5
165799,5
180656,5
203836,5
163434,5
190762,5
209317,5
173736,5
224361,5
209205,5
70261,5
202937,5
51985,5
183898,5
93557,5
334273,5
161007,5
355978,5
33798,5
200246,5
91039,5
175127,5
125550,5
323798,5
200973,5
191777,5
159008,5
94041,5
177368,5
133503,5
86,5
30529,5
141118,5
104443,5
226525,5
107793,5
298635,5
154430,5
19914,5
37088,5
117363,5
169188,5
122215,5
308945,5
233149,5
2050,5
177526,5
145636,5
202046,5
27444,5
199539,5
157289,5
173851,5
175778,5
182541,5
52870,5
247547,5
199713,5
151504,5
213,5
329426,5
203463,5
138513,5
105138,5
376474,5
190044,5
92968,5
102130,5
274363,5
180303,5
243368,5
122109,5
160703,5
201122,5
31023,5
341643,5
222654,5
57600,5
150154,5
1173,5
410439,5
229826,5
344060,5
59083,5
286675,5
181307,5
196123,5
117222,5
154076,5
162667,5
173944,5
36989,5
74784,5
256362,5
177083,5
176900,5
29762,5
95639,5
106910,5
267912,5
314007,5
207066,5
220585,5
65278,5
286750,5
30916,5
118023,5
166497,5
117833,5
234537,5
183594,5
56841,5
192203,5
146497,5
205950,5
193374,5
183151,5
256211,5
117528,5
322691,5
209057,5
209691,5
325159,5
2228,5
29814,5
177305,5
175622,5
22966,5
443546,5
43479,5
455995,5
122999,5
163215,5
33155,5
243409,5
163595,5
249720,5
77820,5
171807,5
289653,5
197344,5
248406,5
152246,5
220993,5
34722,5
210525,5
215990,5
159449,5
165484,5
282023,5
166371,5
119098,5
112754,5
103474,5
113635,5
168138,5
155509,5
166740,5
107812,5
67433,5
327435,5
148709,5
103759,5
131608,5
25955,5
191177,5
193537,5
140764,5
195258,5
104892,5
238959,5
198145,5
29874,5
242984,5
361280,5
152035,5
392812,5
142766,5
191149,5
198068,5
237868,5
125417,5
105813,5
165937,5
186916,5
32587,5
331395,5
188563,5
103596,5
198759,5
120126,5
162164,5
147110,5
32825,5
186420,5
127728,5
205337,5
173754,5
211678,5
35595,5
87556,5
32185,5
307767,5
240063,5
303867,5
201680,5
145419,5
224559,5
103540,5
244147,5
107218,5
6723,5
172281,5
145166,5
334744,5
214288,5
208302,5
189888,5
161153,5
201908,5
27242,5
48093,5
303942,5
323069,5
210013,5
231638,5
183778,5
42044,5
219591,5
223548,5
195602,5
315640,5
213668,5
147548,5
283969,5
204816,5
184756,5
169496,5
120914,5
171424,5
124771,5
239409,5
165309,5
107164,5
95647,5
211013,5
253759,5
132320,5
171114,5
169785,5
473133,5
88055,5
135296,5
98283,5
117496,5
170850,5
140782,5
119992,5
199118,5
183892,4
201179,4
241126,4
166961,4
48063,4
192053,4
426431,4
191834,4
376416,4
206008,4
455379,4
200574,4
94342,4
330087,4
219137,4
119684,4
33521,4
132749,4
187720,4
214385,4
176240,4
56121,4
229051,4
207120,4
174938,4
202822,4
167882,4
213416,4
296158,4
180342,4
38795,4
158291,4
38434,4
257942,4
199698,4
190023,4
226883,4
180758,4
187715,4
129624,4
282951,4
242552,4
231263,4
209103,4
174592,4
37937,4
268525,4
212864,4
53147,4
174491,4
181265,4
276087,4
365430,4
190482,4
209034,4
34506,4
27385,4
208068,4
211494,4
115422,4
79531,4
138692,4
150553,4
456236,4
190911,4
261059,4
98941,4
199688,4
36440,4
72630,4
157612,4
153536,4
315476,4
165474,4
116508,4
315971,4
216811,4
49092,4
192878,4
114605,4
105044,4
186376,4
342709,4
216481,4
164607,4
87,4
160634,4
37646,4
35032,4
37302,4
173682,4
172175,4
205359,4
51461,4
188291,4
89226,4
216734,4
89991,4
107737,4
169133,4
65535,4
192002,4
169995,4
200819,4
184117,4
467108,4
161508,4
148903,4
204527,4
163237,4
301867,4
127961,4
211154,4
209301,4
214541,4
153489,4
118693,4
328301,4
241153,4
246974,4
366089,4
327902,4
171351,4
230095,4
274528,4
166606,4
222993,4
96798,4
174040,4
152940,4
206861,4
105010,4
146834,4
168782,4
236021,4
196943,4
267859,4
111985,4
177705,4
34996,4
115784,4
198259,4
215895,4
147655,4
161155,4
155066,4
70034,4
260761,4
252392,4
111746,4
188612,4
240629,4
213887,4
48189,4
210926,4
167440,4
140985,4
317360,4
70720,4
148431,4
278557,4
295010,4
104280,4
289430,4
376455,4
228516,4
190511,4
192644,4
216256,4
167835,4
201865,4
238980,4
33087,4
320984,4
148509,4
157541,4
1455,4
3770,4
350387,4
138940,4
180667,4
265201,4
216563,4
304955,4
27802,4
161444,4
210844,4
131699,4
153475,4
266439,4
44793,4
35603,4
204516,4
197200,4
144361,4
226267,4
190997,4
304570,4
216181,4
166181,4
177955,4
127306,4
86745,4
301568,4
111994,4
224238,4
147629,4
208406,4
277347,4
183611,4
198265,4
157617,4
357118,4
377017,4
121313,4
159322,4
181758,4
77634,4
235786,4
163985,4
259425,4
158294,4
171889,4
115971,4
110243,4
87310,4
183810,4
163110,4
99065,4
108023,4
149949,4
33551,4
177271,4
185366,4
171328,4
35309,4
167106,4
251120,4
243165,4
194102,4
305874,4
206066,4
198953,4
153064,4
392668,4
186009,4
97688,4
76625,4
202466,4
274200,4
56482,4
41763,4
66304,4
138069,4
109351,4
138153,4
209101,4
196307,4
213019,4
160910,4
149184,4
179008,4
140092,4
111232,4
261241,4
111377,4
306868,4
161482,4
178037,4
168854,4
209320,4
280966,4
75742,4
244522,4
90409,4
309620,4
228075,4
248919,4
226497,4
127875,4
73585,4
168212,4
181666,4
231348,4
249727,4
60722,4
141058,4
176262,4
106982,4
222756,4
36270,4
328610,4
236731,4
174503,4
107417,4
60949,4
114537,4
191103,4
331861,4
285335,4
161027,4
70754,4
214816,4
176063,4
34918,4
510072,4
203924,4
174655,4
136819,4
129762,4
1816,4
163998,4
312271,4
135020,4
220656,4
417668,4
185283,4
390369,4
178319,4
1424,4
216178,4
212847,4
115289,4
98389,4
186452,4
211049,4
31621,4
207540,4
147280,4
144084,4
444554,4
336951,4
196674,4
183000,4
23892,4
200352,4
63042,4
293091,4
177974,4
203353,4
167474,4
343476,4
199227,4
97136,4
33124,4
238802,4
218956,4
98155,4
325596,4
153484,4
47907,4
48779,4
119272,4
74631,4
233777,4
215616,4
134813,4
54608,4
195000,4
188331,4
222434,4
99270,4
195638,4
160968,4
171150,4
192384,4
4931,4
202652,4
46221,4
158438,4
100375,4
123833,4
165315,4
53373,4
153805,4
280570,4
172046,4
163205,4
219632,4
110013,4
202565,4
254547,4
282461,4
101950,4
291755,4
192936,4
192869,4
356882,4
443508,4
403671,4
258298,4
185127,4
82161,4
42251,4
239130,4
113870,4
163921,4
190385,4
152373,4
30008,4
223934,4
89172,4
119199,4
67317,4
115215,4
173590,4
168553,4
185480,4
44671,4
199303,4
112403,4
127573,4
332379,4
291374,4
270379,4
161691,4
136455,4
653,4
130021,4
33610,4
149726,4
176904,4
240124,4
159549,4
231866,4
159724,4
2936,4
172425,4
151267,4
159869,4
189924,4
137354,4
190297,4
160187,4
128272,4
363418,4
206927,4
114483,4
20534,4
74660,4
221366,4
171242,4
164309,4
74194,4
49893,4
119471,4
168387,4
198103,4
213008,4
127388,4
244803,4
163392,4
203240,4
189404,4
290504,4
261278,4
29591,4
210498,4
26502,4
98466,4
178353,4
188569,4
393673,4
190539,4
199753,4
318822,4
172186,4
61777,4
260696,4
217200,4
362835,4
349986,4
198186,4
185099,4
334105,4
211601,4
95336,4
235853,4
164866,4
202153,4
319280,4
171482,4
149507,4
141876,4
121023,4
33658,4
193090,4
204742,4
26781,4
134566,4
34307,4
368797,4
89040,4
398988,4
40151,4
188644,4
73471,4
190072,4
106698,4
111275,4
125159,4
55363,4
99679,4
292472,4
65390,4
149909,4
42703,4
166634,4
89202,4
99373,4
207172,4
212465,4
277946,4
70100,4
58343,4
190115,4
151888,4
103860,4
263871,4
43711,4
57711,4
118001,4
244408,4
169611,4
223433,4
187693,4
166193,4
179048,4
110028,4
32016,4
112158,4
1138,4
147215,4
190107,4
168524,4
285775,4
108320,4
66935,4
263925,4
170148,4
107458,4
400535,4
190786,4
162238,4
140915,4
245211,4
196342,4
89718,4
196816,4
51961,4
37359,4
174794,4
187746,4
183627,4
137142,4
287031,4
312477,4
33404,4
198493,4
348592,4
138370,4
144071,4
120121,4
140516,4
119986,4
225165,4
312017,4
187164,4
180551,4
355918,4
200117,4
186410,4
166744,4
166416,4
83064,4
189498,4
192900,4
194404,4
84231,4
252079,4
102318,4
27049,4
155433,4
214702,4
139671,4
237713,4
176967,4
181242,4
96129,4
188540,4
197816,4
211239,4
89413,4
219262,4
97212,4
359972,4
155657,4
89625,4
129345,4
20057,4
191161,4
70447,4
88126,4
181363,4
249935,4
85109,4
133061,4
421633,4
205759,4
280093,4
23778,4
230961,4
313729,4
351161,4
153066,4
208117,4
2457,4
254202,4
35576,4
101825,4
132633,4
228686,4
113936,4
178948,4
31339,4
326232,4
215443,4
203076,4
139347,4
163948,4
266467,4
138975,4
277695,4
179666,4
326048,4
112362,4
186845,4
103995,4
50053,4
284329,4
225978,4
137076,4
191765,4
117028,4
118710,4
31577,4
141483,4
24106,4
178100,4
197918,4
58683,4
210464,4
188236,4
128516,4
93449,4
279337,4
247053,4
22463,4
188330,4
175109,4
186539,4
124680,4
312232,4
188278,4
198170,4
129786,4
230246,4
379798,4
117583,4
39615,4
179671,4
45857,4
154863,4
160728,4
388725,4
241951,4
357173,4
145917,4
33895,4
240172,4
221336,4
183735,4
291407,4
122612,4
158948,4
162034,4
220066,4
188767,4
295589,4
235894,4
89813,4
173243,4
234640,4
54953,4
33394,4
1411,4
86837,4
167140,4
164574,4
408229,4
165107,4
131826,4
38353,4
99156,4
119033,4
50442,4
2238,4
188774,4
32372,4
200700,4
212588,4
131239,4
192017,4
406641,4
247043,4
175431,4
85815,4
138022,4
111563,4
269722,4
156848,4
277647,4
156728,4
125279,4
353012,4
43705,4
171393,4
187161,4
35448,4
141003,4
609789,4
172307,4
265434,4
216845,4
30673,4
64875,4
183639,4
215392,4
199419,4
278924,4
177216,4
212888,4
216479,4
150683,4
33304,4
63509,4
103575,4
37997,4
194690,4
195744,4
144928,4
129707,4
316470,4
320510,4
172496,4
188391,4
108542,4
172047,4
114459,4
330571,4
300681,4
214399,4
23940,4
169092,4
179731,4
56248,4
252646,4
244945,4
284166,4
106705,4
53197,4
172618,4
205852,4
187901,4
156015,4
178623,4
35644,4
242619,4
191910,4
202373,4
178341,4
27661,4
353881,4
98524,4
155574,4
113323,4
171156,4
153516,4
176969,4
228372,4
116878,4
204596,4
94413,4
266860,4
258102,4
170562,4
178778,4
201520,4
116372,4
199555,4
356838,4
115323,4
107411,4
34862,4
135289,4
198211,4
325538,4
44216,4
89559,4
91716,4
199378,4
204021,4
70055,4
345705,4
277256,4
204641,4
184078,4
460408,4
277434,4
48121,4
3432,4
172304,4
152629,4
71269,4
61518,4
96862,4
209609,4
185452,4
109762,4
129150,4
4687,4
389725,4
81973,4
208122,4
